spec.name,spec.name.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,genus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,nameAccordingToID,created,modified,references,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Jacquinia aurantiaca,Jacquinia aurantiaca,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,24,1,wfo-0000568656,60430438-2,Bonellia macrocarpa,SPECIES,wfo-4000004967,(Cav.) B.Ståhl & Källersjö,Primulaceae,Bonellia,macrocarpa,,,,Novon 14: 117 2004,Accepted,,,2012-03-26,2012-03-26,http://www.theplantlist.org/tpl1.1/record/kew-2679378,,TRUE,Synonym,wfo-0000355227,Jacquinia aurantiaca
Jatrofa curcas,Jatrofa curcas,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,25,1,wfo-0000219580,131462-2,Jatropha curcas,SPECIES,wfo-4000019533,L.,Euphorbiaceae,Jatropha,curcas,,,,Sp. Pl. 1006 1753,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-104552,,FALSE,,,
Jatropha curcas,Jatropha curcas,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,26,1,wfo-0000219580,131462-2,Jatropha curcas,SPECIES,wfo-4000019533,L.,Euphorbiaceae,Jatropha,curcas,,,,Sp. Pl. 1006 1753,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-104552,,FALSE,,,
Jossinia aherniana,Jossinia aherniana,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,27,1,wfo-0000956270,593536-1,Eugenia aherniana,SPECIES,wfo-4000014151,C.B.Rob.,Myrtaceae,Eugenia,aherniana,,,,"Philipp. J. Sci., C 4: 344 1909",Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-74266,,TRUE,Synonym,wfo-0000220163,Jossinia aherniana
Juglans boliviana,Juglans boliviana,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,28,1,wfo-0001067441,131749-2,Juglans boliviana,SPECIES,wfo-4000019653,(C.DC.) Dode,Juglandaceae,Juglans,boliviana,,,,Bull. Soc. Dendrol. France 13: 211 1909,Accepted,,,2012-04-18,2012-04-18,http://www.theplantlist.org/tpl1.1/record/tro-16700013,,FALSE,,,
Juglans guatemalensis,Juglans guatemalensis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,29,1,wfo-0000355121,131777-2,Juglans olanchana,SPECIES,wfo-4000019653,Standl. & L.O.Williams,Juglandaceae,Juglans,olanchana,,,,Ceiba 1: 76 1950,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2331829,,TRUE,Synonym,wfo-0000353521,Juglans guatemalensis
Juglans olanchana,Juglans olanchana,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,30,1,wfo-0000355121,131777-2,Juglans olanchana,SPECIES,wfo-4000019653,Standl. & L.O.Williams,Juglandaceae,Juglans,olanchana,,,,Ceiba 1: 76 1950,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2331829,,FALSE,,,
Juglans olanchanum,Juglans olanchanum,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,31,1,wfo-0000355121,131777-2,Juglans olanchana,SPECIES,wfo-4000019653,Standl. & L.O.Williams,Juglandaceae,Juglans,olanchana,,,,Ceiba 1: 76 1950,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2331829,,FALSE,,,
Juglans regia,Juglans regia,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,32,1,wfo-0000355051,442427-1,Juglans regia,SPECIES,wfo-4000019653,L.,Juglandaceae,Juglans,regia,,,,Sp. Pl. 997 1753,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2331747,,FALSE,,,
Julbernadia globiflora,Julbernadia globiflora,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,33,1,wfo-0000169101,,Julbernardia globiflora,SPECIES,wfo-4000019655,(Benth.) Troupin,Fabaceae,Julbernardia,globiflora,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-1543,,FALSE,,,
Julbernadia paniculata,Julbernadia paniculata,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,34,1,wfo-0000169220,,Julbernardia paniculata,SPECIES,wfo-4000019655,(Benth.) Troupin,Fabaceae,Julbernardia,paniculata,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-1554,,FALSE,,,
Julbernardia paniculata,Julbernardia paniculata,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,35,1,wfo-0000169220,,Julbernardia paniculata,SPECIES,wfo-4000019655,(Benth.) Troupin,Fabaceae,Julbernardia,paniculata,,,,,Accepted,,,2010-07-14,2010-07-14,http://www.theplantlist.org/tpl1.1/record/ild-1554,,FALSE,,,
Juniperus drupacea,Juniperus drupacea,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,36,1,wfo-0000355518,262198-1,Juniperus drupacea,SPECIES,wfo-4000019723,Labill.,Cupressaceae,Juniperus,drupacea,,,,Icon. Pl. Syr. 2: 4 1791,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2332563,,FALSE,,,
Juniperus excelsa,Juniperus excelsa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,NA,37,1,wfo-0000354994,30166980-2,Juniperus sabina,SPECIES,wfo-4000019723,L.,Cupressaceae,Juniperus,sabina,,,,Sp. Pl. 1039 1753,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2331683,,TRUE,Synonym,wfo-0000355501,Juniperus excelsa
Juniperus excelsa,Juniperus excelsa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,NA,37,2,wfo-0000355502,,Juniperus excelsa,SPECIES,wfo-4000019723,M.Bieb.,Cupressaceae,Juniperus,excelsa,,,,Beschr. Länd. Terek. Casp. 204 1800,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2332546,,FALSE,,,
Juniperus excelsa,Juniperus excelsa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,NA,37,3,wfo-0000354991,132535-2,Juniperus scopulorum,SPECIES,wfo-4000019723,Sarg.,Cupressaceae,Juniperus,scopulorum,,,,Gard. & Forest 10: 420 1897,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2331680,,TRUE,Synonym,wfo-0000355510,Juniperus excelsa
Juniperus excelsa,Juniperus excelsa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,NA,37,4,wfo-0000354992,262351-1,Juniperus semiglobosa,SPECIES,wfo-4000019723,Regel,Cupressaceae,Juniperus,semiglobosa,,,,Trudy Imp. S.-Peterburgsk. Bot. Sada 6: 487 1879,Accepted,,,2012-03-23,2012-03-23,http://www.theplantlist.org/tpl1.1/record/kew-2331681,,TRUE,Synonym,wfo-0000355525,Juniperus excelsa
