scientific_name
---.AUSENTE DA LISTA.---
---ABSENTE DE LA LISTE---
---INCONNUE---
---NOT IN LIST----
---NOT KNOWN---
Cecropia insign
Cecropia insignis
Cecropia obtusi
Cecropia obtusifolia
Cecropia peltata
Cecropia Peltata
Cecropia sp
Cecropia sp.
Cecropia sp01.
Cedrela angustifolia
Cedrela fissilis
Cedrela macrocarpa
Cedrela mexicana
Cedrela odorata
Cedrela odorata L.
Cedrela sp.
Cedrela tonduzi
Cedrelat odorata
Cedrus libani
Ceiba
Ceiba aesculifolia
Ceiba pentandra
Ceiba pentandra (L.) Gaertn.
Ceiba pentandro
Celtis
Celtis adolfi-friderici
Celtis adolfi friderici
Celtis africana
Celtis australis
Celtis caucasica
Celtis comphophylla
Celtis integrifolia
Celtis luzonica
Celtis mildbraedii
Celtis philippensis
Celtis philippinensis
Celtis prantlii
Celtis sp.
Celtis sp01 (?schippii L.
Celtis tessmannii
Celtis trinervia
Celtis zenkeri
Cerasus avium
Cerasus mahaleb
Ceratonia siliqua
Cerbera manghas
Cercis siliquastrum
Ceriops decandra
Cespedesia macr
Cespedesia macrophylla
Cespedezia macrophylla
Cestrum aurantiacum
Cestrum diurnum
Cestrum dumetorum
Chickrassia tabularis
Chimarrhis latifolia
Chimarrhis parv
Chimarrhis parviflora
Chinnamomum zeylanicum
Chiococca alba
Chionanthus pan
Chiranthodendron pentadactylon
Chisocheton cumingianus
Chisocheton pentandrus
Chlamydocola
Chlorophora excelsa
Chlorophora tinctoria (L.) Gaud.
Chomelia sp
"Chonjelia, spinosa"
Christiana africana
Chromolaena odorata
Chrysobalanus icaco
Chrysochlamys sp01
Chrysophyllum a
Chrysophyllum bangweolense
Chrysophyllum c
Chrysophyllum caimito
Chrysophyllum cainito
Chrysophyllum magalismontanum
Chrysophyllum mexicanum
Chrysophyllum oliv
Chysobalanus icaco
Chytranthus
Cicca acida
Cinchona officinalis
Cinnamomum cinn
Cinnamomum mercadoi
Cinnamomum microphyllum
Cinnamomum mindanaense
Cinnamomum obtusifolium
Cinnamomum tamala
Cinometra colimensis
Citropsis articulata
Citrus aurantifolia
Citrus grandis
Citrus hystrix
Citrus limon
Citrus limonia
Citrus microcarpa
Citrus nobilis
Citrus paradisi
Citrus reticulata
Citrus sinensis
Citrus sp.
Citrus sp01
Citrus vulgaris
Claoxylon arboreum
Cleistanthus
Cleistanthus polystachyus
Cleistocalyx operculatus
Cleistopholis
Cleistopholis glauca
Cleistopholis patens
Cleistopholis sp.
Clematis meyeniana
Clerodendrum lanuginosum
Clerondendrum inerme
Clethra lanata
Clethra lancifolia
Clethra luzonica
Clethra macrophylla
Clethra mexicana
Clethra pulgarensis
Clethra skutchii
Clethra sp
Clethra sp01.
Cleyera japonica
Clidemia sp
Clorophora tinctoria
Clusia minor
Clusia rosea
Clusia sp.
Clusia sp01.
Clusiaceae / Guttiferae
Cnestidium rufescens
Coccoloba belizensis
Coccoloba caracasana
Coccoloba floribunda
Coccoloba hondurensis
